player_id,High 5s,Player Avg Raid Points,Player Avg Tackle Points,Player DOD Raid Points,Player Raid Points,Player Successful Raids,Player Successful Tackles,Player Super Raids,Player Super Tackles,Player Tackle Points,Player Total Points,Super 10s,player_name,team,position_id,position_name,match_played
308,,,1.0,,,,2.0,,,2.0,2.0,,Sushil Vijay Bhosle,2,4.0,"Defender, left cover",2
309,,1.85,0.38,4.0,24.0,20.0,5.0,,,5.0,29.0,,Manpreet Singh,6,8.0,Raider,13
311,,0.33,1.73,1.0,2.0,2.0,19.0,,,19.0,21.0,,Anil Kumar,2,4.0,"Defender, left cover",11
312,,,0.25,,,,1.0,,,1.0,1.0,,Sanju,8,8.0,Raider,4
313,,1.5,,2.0,6.0,4.0,1.0,,,1.0,7.0,,Virender Wazir Singh,8,8.0,Raider,4
314,,,1.5,,1.0,,20.0,,1.0,21.0,22.0,,Somvir,1,4.0,"Defender, left cover",14
315,,,,1.0,1.0,1.0,,,,,1.0,,Parvesh Attri,1,8.0,Raider,1
316,,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,Nirbhay Narwal,1,3.0,"Defender, left corner",2
317,,,,,,,1.0,,,1.0,1.0,,Hardeep Duhan,1,6.0,"Defender, right corner",1
318,,3.46,0.62,19.0,45.0,36.0,6.0,1.0,2.0,8.0,53.0,,Pawan Kumar Sehrawat,1,8.0,Raider,13
320,,7.7,0.4,5.0,77.0,68.0,3.0,1.0,1.0,4.0,81.0,2.0,Nitin Tomar,4,8.0,Raider,10
322,5.0,0.25,4.0,,1.0,1.0,47.0,,1.0,48.0,49.0,,PO Surjeet Singh,7,7.0,"Defender, right cover",12
324,,,1.0,,,,2.0,,,2.0,2.0,,Darshan Kadian,6,8.0,Raider,2
326,,9.27,0.58,20.0,102.0,80.0,7.0,4.0,,7.0,109.0,5.0,Rohit Kumar,6,8.0,Raider,12
